province,district,constituency_name,pop,no_of_polling_stations,male,female,total,na_name,obtained_votes,candidate_name,party_affilation,party,year
Punjab,Attock,Attock-II,496142,266,165266,150821,316087,NA-58,70743,Ch Pervaiz Ellahi,PML,PML-Q,2008
Punjab,Mianwali,Mianwali-II,638480,291,168959,138835,307794,NA-72,49294,Humair Hayat Rokhari,IND,IND,2008
Punjab,Rawalpindi,Rawalpindi-VI,570886,250,180922,152097,333019,NA-55,76980,Makhdoom Muhammad Javed Hashmi,PMLN,PMLN,2008
Punjab,Lahore,Lahore-I,556480,244,206869,54716,261585,NA-118,55900,Muhammad Riaz,PMLN,PMLN,2008
Punjab,Attock,Attock-I,531585,236,157917,120004,277921,NA-57,38755,Sheikh Aftab Ahmad,PMLN,PMLN,2008
Punjab,Mandi Bhauddin,Mandi Bahauddin-II,653319,228,180921,128920,309841,NA-109,74163,Nazar Muhammad Gondal,PPP,PPP,2008
Punjab,Sargodha,Sargodha-I,633546,334,234881,194185,429066,NA-64,65628,Nadeem Afzal Gondal,PPP,PPP,2008
Punjab,Faisalabad,Faisalabad-X,547513,243,138255,109894,248149,NA-84,59616,Abid Ali,PMLN,PMLN,2008
Punjab,Multan,Multan-VI,613220,235,189346,160290,349636,NA-153,69246,Dewan Ashiq Hussain Bukhari,PML,PML-Q,2008
Punjab,Kasur,Kasur-IV,557751,259,135366,608518,743884,NA-141,58807,Rana Muhammad Ishaq Khan,PMLN,PMLN,2008
Punjab,Gujrat,Gujrat-IV,608426,255,167451,154936,322387,NA-107,75205,Muhammad Jamil Malik,PMLN,PMLN,2008
Punjab,Sargodha,Sargodha-V,627659,308,208595,174456,383051,NA-68,80174,Syed Javed Hassnain Shah,PMLN,PMLN,2008
Punjab,Hafizabad,Hafizabad-I,492716,218,112492,85597,198089,NA-102,56313,Saira Afzal Tarar,PMLN,PMLN,2008
Punjab,Sialkot,Sialkot-I,578955.78,227,144213,130334,274547,NA-110,73007,Khawaja Muhammad Asif,PMLN,PMLN,2008
Punjab,Rajanpur,Rajanpur-II,652057,224,174640,110401,285041,NA-175,78427,Meer Dost Muhammad Mazari,PPP,PPP,2008
Punjab,Gujranwala,Gujranwala-V,578545,231,190106,591934,782040,NA-99,60219,Rana Nazir Ahmad Khan,PMLN,PMLN,2008
Punjab,Mianwali,Mianwali-I,597766,282,180267,148960,329227,NA-71,83098,Nawabzada Malik Amad Khan,IND,IND,2008
Punjab,Sahiwal,Sahiwal-III,547710,281,134868,109098,243966,NA-162,70634,Ch Zahid Iqbal,PPP,PPP,2008
Punjab,Rawalpindi,Rawalpindi –V,543273,201,143658,127834,271492,NA-54,58228,Malik Abrar Ahmad,PMLN,PMLN,2008
Punjab,Attock,Attock-III,463947,253,142401,120576,262977,NA-59,71400,Sardar Saleem Haider Khan,PPP,PPP,2008
Punjab,Muzaffargarh,Muzaffargarh-I,621469,241,159880,109543,269423,NA-176,50826,Muhammad Mohsin Ali Qureshi,PPP,PPP,2008
Punjab,Lahore,Lahore-XII,471077,192,124869,81390,206259,NA-129,36604,Tariq Shabbir Advocate,PPP,PPP,2008
Punjab,Muzaffargarh,Muzaffargarh-III,618171,252,163900,120486,284386,NA-178,57946,Jamshed Ahmad Khan Dasti,PPP,PPP,2008
Punjab,Lahore,Lahore-IX,626761,267,195856,163086,358942,NA-126,69718,Omer Sohail Zia Butt,PMLN,PMLN,2008
Punjab,Pakpattan,Pakpattan-III,508205,225,120588,100070,220658,NA-166,66418,Rana Zahid Hussain Khan,PMLN,PMLN,2008
