product,sub_product,issue,sub_issue,submitted_via,company,state,timely,company_response,month_year,count_of_complaint_id
Checking or savings account,CD (Certificate of Deposit),Closing an account,Company closed your account,Web,ALLY FINANCIAL INC.,CO,Yes,In progress,03-26,1
Checking or savings account,CD (Certificate of Deposit),Closing an account,Funds not received from closed account,Web,WELLS FARGO & COMPANY,MT,Yes,Closed with explanation,02-26,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Deposits or withdrawals,Web,"FIRST HAWAIIAN, INC.",GU,Yes,Closed with explanation,02-26,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Deposits or withdrawals,Web,NAVY FEDERAL CREDIT UNION,OH,Yes,In progress,03-26,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Deposits or withdrawals,Web,SYNCHRONY FINANCIAL,DE,Yes,In progress,02-26,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Funds not handled or disbursed as instructed,Web,"BMO Bank, N.A.",NM,Yes,Closed with monetary relief,02-26,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Problem accessing account,Web,"Block, Inc.",IA,Yes,In progress,03-26,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Problem with renewal,Referral,NEW YORK COMMUNITY BANCORP INC,NV,Yes,In progress,02-26,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Problem with renewal,Referral,SECURITY SERVICE FEDERAL CREDIT UNION,TX,Yes,In progress,03-26,1
Checking or savings account,CD (Certificate of Deposit),Managing an account,Problem with renewal,Web,SYNCHRONY FINANCIAL,HI,Yes,Closed with explanation,02-26,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,"Block, Inc.",CO,Yes,In progress,03-26,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,Chime Financial Inc,WV,Yes,In progress,02-26,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,NEW YORK COMMUNITY BANCORP INC,CA,Yes,In progress,02-26,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,NEW YORK COMMUNITY BANCORP INC,NC,Yes,In progress,02-26,1
Checking or savings account,Checking account,Closing an account,Can't close your account,Web,"UPGRADE, INC.",IA,Yes,In progress,02-26,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Referral,KEYCORP,OR,Yes,Closed with explanation,02-26,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",IN,Yes,Closed with explanation,02-26,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",NE,Yes,Closed with explanation,02-26,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Web,"Block, Inc.",AR,Yes,In progress,02-26,2
Checking or savings account,Checking account,Closing an account,Company closed your account,Web,"Block, Inc.",CT,Yes,In progress,02-26,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Web,"Block, Inc.",SC,Yes,In progress,02-26,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Web,Chime Financial Inc,NE,Yes,In progress,02-26,1
Checking or savings account,Checking account,Closing an account,Company closed your account,Web,FIRST UNITED BANK AND TRUST COMPANY,OK,Yes,Closed with explanation,03-26,1
